Level, h1, h2, h3, h4, h5, h6, h7, h8, h9, h10, h12, h13, h14, h15, h16, h17
Level 11,0.00021117876605037698,0.00011836120111575952,0.00010303259346356026,0.00006964564255852993,0.00010096477897941564,0.00006787171690175397,0.0001627360722764966,0.0001285967400413081,0.0004354227066420011,0.00012278287146596942,0.059859442173774605,0.0019584963126078672,0.00009030704758669613,0.0003420741409435477,0.0003202760197441598,0.07193130914579203
Level 12,0.00025092716458349355,0.00012103341947937165,0.00010079361393281411,0.00007200634374321655,0.0001004005413701632,0.00006754995604549119,0.00015732340470773362,0.00012443418732511346,0.0003853280433357829,0.00011521035219417353,0.03320342784309249,0.0018258742622775416,0.00009096182375769906,0.00028043033651784774,0.00037733495346636365,0.04992382340659617
Level 13,0.0004560459363268214,0.00017920587182748888,0.0001477360983824495,0.00008183578393005163,0.00012064050198549096,0.00008362339664391255,0.00024565668972006445,0.00029513000093036055,0.0007998967807035375,0.00014327450648299352,0.0682586276730024,0.0034694309111338844,0.00011889585776204998,0.0006514031988905834,0.0008823699123017048,0.08428900520921222
Level 14,0.00023370578556376344,0.00011158816735534107,0.00012211764560026282,0.00007017641602193608,0.00010700003408333835,0.00006905880154055707,0.0001498234786969774,0.0001457058550680385,0.0002882353523198296,0.00010988236788441154,0.02722652941284811,0.0006945882923901081,0.0000870000187526731,0.00031605880597935,0.0009943528703468688,0.03350729407633052
Level 15,0.00024102149050562612,0.00013326884307447942,0.00012175806407486238,0.0000737473113282073,0.00010696773026739397,0.00006703223772747542,0.0002220376489824185,0.00016723657828024638,0.00037518280848700515,0.00012586021705740882,0.081692521512929,0.003304580669669855,0.0000898225748691187,0.00043126880641906494,0.0017484354996873486,0.09014043013405015
Level 16,0.00048280013725161554,0.00026599988341331483,0.0001753999851644039,0.000070200115442276,0.00012440001592040062,0.00006700009107589722,0.00036459993571043016,0.0002052001655101776,0.0006384001113474369,0.0001496000215411186,0.07264200011268258,0.004952599946409464,0.00011579999700188637,0.0009349999018013477,0.0019456000067293645,0.0842059999704361
Level 17,0.0006290243529691929,0.000570878034412134,0.0005162194848242329,0.00017509755973772306,0.0002515365528624232,0.00017063415086850887,0.0004504145940811169,0.00038526828468936244,0.0011414145687367858,0.0003220243947353305,0.12886517075821757,0.0026055609739226537,0.0002178536251005603,0.0011306828705639374,0.002048292697021147,0.14941707319330153
Level 18,0.0002720839846879244,0.0001236680094152689,0.00011458400450646878,0.00006973198242485523,0.00009925598837435245,0.0000668879970908165,0.0001673400029540062,0.00013334399834275245,0.0005572399944067002,0.0001131879910826683,0.05760037599131465,0.0023947400134056804,0.00008923198282718658,0.0004808920193463564,0.0006650600023567676,0.09069172802567482
Level 19,0.00023424388255391802,0.00012791451471192496,0.00010815885982343129,0.00007340160118682044,0.00010158582744853837,0.00006883222673620496,0.00015908640154770442,0.00013865691529853002,0.00044118331340806826,0.00011447931581309864,0.04772347611774291,0.0009252205742256982,0.00009440640243036406,0.0003064653696758406,0.00047262400282280784,0.05966899108748351
Level 20,0.0003845516527677593,0.0001818082183328368,0.00013563027722361288,0.00008812457219151074,0.00011603367665344552,0.00007290396688944026,0.0002671341297746164,0.00018652639889740917,0.0011886969223601498,0.0001488357592856758,0.08545740881327966,0.003740751569584059,0.00011341467006163901,0.0005226441254769133,0.000651283388464078,0.1537326762259892
Level 21,0.0002156785922124982,0.00011996427617434944,0.00010789285546966962,0.0000772142583238227,0.00010725001006254129,0.00006264281858290945,0.00019846429183546986,0.0001447857523869191,0.00040067862054066997,0.0001151428690978459,0.040982607120115845,0.00460203572375966,0.00008971425372042827,0.0002973214889477406,0.0009678214721913848,0.04903592859461371
Level 22,0.0003870000258426775,0.00024799994108351797,0.00019536368464204398,0.00012522732669656926,0.0001729090740396218,0.000104590869424018,0.0003535454161465168,0.0002812728158790957,0.0006588636050847443,0.00021281815133988857,0.05837649998085743,0.0030104544818062673,0.00015072721395302904,0.0005648181646723639,0.0015786818059330637,0.0694855908990245
Level 23,0.00025736003182828425,0.00016379999928176403,0.0001441799756139517,0.00009071998298168182,0.0001228600461035967,0.00007966003380715847,0.0003500000387430191,0.0002648800238966942,0.0003161999490112066,0.00013877997174859046,0.12068169998936355,0.0010423599928617478,0.00011566001921892166,0.0005038599669933319,0.0017127600684762002,0.1360367999691516
Level 24,0.00023247200720045598,0.00012415058993834517,0.00011057080997378561,0.00007127094383365111,0.0000999078584861069,0.00006477043438693661,0.0002296377841933417,0.0001285304492545614,0.00035728265500510115,0.00011059901572394247,0.06431489584859179,0.0016754725891393518,0.00009515940869283904,0.0003079000444705297,0.0005065767391147376,0.07520730579984584
